result,white_player,black_player,white_elo,black_elo,timezone,start_time,end_time
loss,SCHMITZ874,BruckEe,434,429,UTC,20,20
win,SCHMITZ874,LucasChamp,427,475,UTC,17,17
tie,SCHMITZ874,whizi-d,427,419,UTC,17,17
loss,SCHMITZ874,MaggieAjna,420,459,UTC,19,19
win,SCHMITZ874,EnglishDave2,429,440,UTC,19,19
loss,SCHMITZ874,Juansparov96,429,476,UTC,20,20
win,SCHMITZ874,montecivetta,437,379,UTC,19,19
loss,SCHMITZ874,Melo0311,446,463,UTC,20,20
loss,SCHMITZ874,levigomescostajunior,427,420,UTC,14,14
loss,SCHMITZ874,shesschessed,413,413,UTC,21,21
loss,SCHMITZ874,Madd000,403,487,UTC,22,22
win,SCHMITZ874,Callaecu,416,436,UTC,21,21
loss,SCHMITZ874,AndrewMasek,415,1054,UTC,23,23
win,SCHMITZ874,Deltones,412,329,UTC,23,23
loss,SCHMITZ874,HolyGNKDroid,437,463,UTC,21,21
loss,SCHMITZ874,Stojanovski32,404,440,UTC,19,19
win,SCHMITZ874,kumahime,438,537,UTC,06,06
loss,SCHMITZ874,kumahime,432,541,UTC,06,06
win,SCHMITZ874,kumahime,440,536,UTC,06,06
loss,SCHMITZ874,patrickaoddd,630,819,UTC,16,16
win,SCHMITZ874,Amitsalom,624,608,UTC,16,16
loss,SCHMITZ874,ovidiubdb,454,654,UTC,16,17
tie,SCHMITZ874,Alex_R_97,482,496,UTC,17,17
loss,SCHMITZ874,DeathOfAnubis,498,633,UTC,19,20
loss,SCHMITZ874,jackwilder268,442,479,UTC,20,20
win,SCHMITZ874,ayad224,487,420,UTC,20,20
win,SCHMITZ874,LAZARUSgang,495,556,UTC,21,22
win,SCHMITZ874,Urlodelpazzosium,519,402,UTC,16,16
loss,SCHMITZ874,ChessYaToDeath,505,493,UTC,22,22
loss,SCHMITZ874,Marcmagm,391,419,UTC,23,23
win,SCHMITZ874,drop42,419,271,UTC,23,23
loss,SCHMITZ874,TiviF,461,509,UTC,00,01
tie,SCHMITZ874,Pituan,477,467,UTC,16,16
loss,SCHMITZ874,ReshetnyakNikolay,458,465,UTC,16,16
loss,SCHMITZ874,NoticeHypixel,443,504,UTC,16,17
win,SCHMITZ874,thejbonn,450,376,UTC,02,02
